type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw<202]r,,,InternalOperatingMode430,InternalOperatingMode430,,,b509,0d3100,value,,UCH,0=off;1=manual;2=auto,,operation mode of the second heating circuit for 430
[id_sw<202]w,,,InternalOperatingMode430,InternalOperatingMode430,,,b509,0e3100,value,,UCH,0=off;1=manual;2=auto,,operation mode of the second heating circuit for 430
[id_sw>=202]r,,,InternalOperatingMode470,InternalOperatingMode470,,,b509,0d3100,value,,UCH,2=auto;3=on;4=night;5=summer,,operation mode of the second heating circuit for 470
[id_sw>=202]w,,,InternalOperatingMode470,InternalOperatingMode470,,,b509,0e3100,value,,UCH,2=auto;3=on;4=night;5=summer,,operation mode of the second heating circuit for 470
r,,,TempDesiredLow,DesiredLowTemperature: lowering temperature setpoint of the second heating circuit,,,b509,0d1300,value,,D1C,,°C,temperature
w,,,TempDesiredLow,DesiredLowTemperature: lowering temperature setpoint of the second heating circuit,,,b509,0e1300,value,,D1C,,°C,temperature
r,,,TempDesiredHigh,DesiredHighTemperature: day temperature setpoint of the second heating circuit,,,b509,0d3800,value,,D1C,,°C,temperature
w,,,TempDesiredHigh,DesiredHighTemperature: day temperature setpoint of the second heating circuit,,,b509,0e3800,value,,D1C,,°C,temperature
r,,,HolidayTempDesired,"DesiredHolidayTemperature: 4.5=frostprotect, holiday temperature of the second heating circuit",,,b509,0d1400,value,,D1C,,°C,temperature
w,,,HolidayTempDesired,"DesiredHolidayTemperature: 4.5=frostprotect, holiday temperature of the second heating circuit",,,b509,0e1400,value,,D1C,,°C,temperature
r,,,Hc2ManualOPRoomTempDesired,HC2_ManualOPRoomSetpoint: room setpoint in operation mode manual of the second heating circuit,,,b509,0d3400,value,,D1C,,°C,temperature
w,,,Hc2ManualOPRoomTempDesired,HC2_ManualOPRoomSetpoint: room setpoint in operation mode manual of the second heating circuit,,,b509,0e3400,value,,D1C,,°C,temperature
r,,,Hc2QuickVetoTemp,HC2_QuickVetoTemp: manual override setpoint of the second heating circuit,,,b509,0d3200,value,,D1C,,°C,temperature
r,,,DisplayedRoomTempDesired,DisplayedRoomSetpoint,,,b509,0d4800,value,,D2C,,°C,temperature
r,,,SunMoonInfo,"SunMoonInfo: (2 = sun, 4 = moon)",,,b509,0d4700,value,,UCH,,,
r,,,Flow1Sensor,Flow1Sensor: second heating circuit's flow temperature and sensorstate,,,b509,0d0000,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,BoilerCircuitPump,BurnerCircuitPump: first heating circuit (burner circuit) pump's state,,,b509,0d2000,value,,UCH,0=off;1=on,,
r,,,CirPump,CirculationPump: control state of the circulation respectively loading pump (functionality of the pump depends on the configuration),,,b509,0d0100,value,,UCH,0=off;1=on,,
r,,,Hc1PumpKol1PP1Port,Hk1P_Kol1P_P1_Port: first heating circuit pump's state,,,b509,0d4200,value,,UCH,0=off;1=on,,
r,,,Hc2PumpAlPort,Hk2P_Al_Port: second heating circuit (mixer circuit) pump's state,,,b509,0d4300,value,,UCH,0=off;1=on,,
